candidate,recipe,vocab_size,category,documents,chars,utf8_bytes,characters_per_token,bytes_per_token,exact_round_trip_rate,unknown_token_count,byte_fallback_tokens,fallback_byte_token_utilization,average_piece_length,longest_piece_chars,token_count_p50,token_count_p90,token_count_p99,tokens_per_document,tokens_per_episode,context_chars_512,context_chars_1024,context_chars_2048,context_chars_4096
j-reversible-sp-unigram-8k,J,8000,aa,97,468268,1303346,1.5420698012922263,4.292094499805705,1.0,0,377,0.0012415119442011184,1.6942215379342993,16,2459,4298.6,17894.239999999972,3130.536082474227,3130.536082474227,789.5397382616198,1579.0794765232397,3158.1589530464794,6316.317906092959
j-reversible-sp-unigram-8k,J,8000,aozora_kyu_kyu,15,98589,283524,1.3755964838844705,3.955964838844705,1.0,0,564,0.007869401423189619,1.571971660634478,16,2038,12034.8,16555.799999999996,4778.0,4778.0,704.3053997488489,1408.6107994976978,2817.2215989953957,5634.443197990791
j-reversible-sp-unigram-8k,J,8000,aozora_shin_kyu,51,363135,1049668,1.3909114935440503,4.020530341623353,1.0,0,1893,0.007250734457650425,1.6031951931719763,16,3064,8774,43823.5,5119.156862745098,5119.156862745098,712.1466846945538,1424.2933693891075,2848.586738778215,5697.17347755643
j-reversible-sp-unigram-8k,J,8000,aozora_shin_shin,37,500000,1454404,1.3899931612336467,4.043223227341722,1.0,0,1481,0.004117159743574061,1.5287336572961525,16,3869,16410.6,75222.56000000001,9722.0,9722.0,711.6764985516271,1423.3529971032542,2846.7059942065084,5693.411988413017
j-reversible-sp-unigram-8k,J,8000,code,1,36,36,1.0588235294117647,1.0588235294117647,1.0,0,0,0.0,1.088235294117647,2,34,34,34,34.0,34.0,542.1176470588235,1084.235294117647,2168.470588235294,4336.941176470588
j-reversible-sp-unigram-8k,J,8000,english,1,44,44,1.1,1.1,1.0,0,0,0.0,1.1,4,40,40,40,40.0,40.0,563.2,1126.4,2252.8,4505.6
j-reversible-sp-unigram-8k,J,8000,gyaru,13,211,547,0.83399209486166,2.1620553359683794,1.0,0,97,0.383399209486166,2.529820080450054,6,16,28.8,35.16,19.46153846153846,19.46153846153846,427.00395256916994,854.0079051383399,1708.0158102766798,3416.0316205533595
j-reversible-sp-unigram-8k,J,8000,historical_kana,1,11,33,1.5714285714285714,4.714285714285714,1.0,0,0,0.0,1.5714285714285714,4,7,7,7,7.0,7.0,804.5714285714286,1609.142857142857,3218.285714285714,6436.571428571428
j-reversible-sp-unigram-8k,J,8000,kakikudashi,690,7344,22032,1.0030046435400164,3.009013930620049,1.0,0,783,0.10693799508331057,1.537426974632184,6,10.0,14.0,18.0,10.611594202898551,10.611594202898551,513.5383774924884,1027.0767549849768,2054.1535099699536,4108.307019939907
j-reversible-sp-unigram-8k,J,8000,kanbun,690,4292,12876,0.893980420745678,2.681941262237034,1.0,0,801,0.16684024161632993,1.6507809823027213,6,7.0,9.0,11.0,6.957971014492753,6.957971014492753,457.7179754217871,915.4359508435742,1830.8719016871485,3661.743803374297
j-reversible-sp-unigram-8k,J,8000,modern_ja,1,11,33,1.375,4.125,1.0,0,0,0.0,1.375,4,8,8,8,8.0,8.0,704.0,1408.0,2816.0,5632.0
j-reversible-sp-unigram-8k,J,8000,old_orthography,1,13,39,1.4444444444444444,4.333333333333333,1.0,0,0,0.0,1.4444444444444444,4,9,9,9,9.0,9.0,739.5555555555555,1479.111111111111,2958.222222222222,5916.444444444444
j-reversible-sp-unigram-8k,J,8000,ruby_rendered,2,25,75,1.0416666666666667,3.125,1.0,0,0,0.0,1.0416666666666665,2,12.0,12.0,12.0,12.0,12.0,533.3333333333334,1066.6666666666667,2133.3333333333335,4266.666666666667
j-reversible-sp-unigram-8k,J,8000,technical,2,34542,54848,1.1185156401787448,1.7760507739136067,1.0,0,251,0.008127711935755457,1.248266800139004,16,15441.0,18690.6,19421.760000000002,15441.0,15441.0,572.6800077715174,1145.3600155430347,2290.7200310860694,4581.440062172139
