hidden_dim_assumed,model_parameters,tied_parameters,tied_percent_model,untied_parameters,untied_percent_model,vocab_size
512,70000000,4096000,5.851428571428571,8192000,11.702857142857143,8000
512,70000000,8192000,11.702857142857143,16384000,23.405714285714286,16000
512,70000000,12288000,17.554285714285715,24576000,35.10857142857143,24000
512,70000000,16384000,23.405714285714286,32768000,46.81142857142857,32000
512,70000000,24576000,35.10857142857143,49152000,70.21714285714286,48000
512,70000000,32768000,46.81142857142857,65536000,93.62285714285714,64000
768,150000000,6144000,4.096,12288000,8.192,8000
768,150000000,12288000,8.192,24576000,16.384,16000
768,150000000,18432000,12.288,36864000,24.576,24000
768,150000000,24576000,16.384,49152000,32.768,32000
768,150000000,36864000,24.576,73728000,49.152,48000
768,150000000,49152000,32.768,98304000,65.536,64000
1024,300000000,8192000,2.7306666666666666,16384000,5.461333333333333,8000
1024,300000000,16384000,5.461333333333333,32768000,10.922666666666666,16000
1024,300000000,24576000,8.192,49152000,16.384,24000
1024,300000000,32768000,10.922666666666666,65536000,21.845333333333333,32000
1024,300000000,49152000,16.384,98304000,32.768,48000
1024,300000000,65536000,21.845333333333333,131072000,43.690666666666665,64000
2048,800000000,16384000,2.048,32768000,4.096,8000
2048,800000000,32768000,4.096,65536000,8.192,16000
2048,800000000,49152000,6.144,98304000,12.288,24000
2048,800000000,65536000,8.192,131072000,16.384,32000
2048,800000000,98304000,12.288,196608000,24.576,48000
2048,800000000,131072000,16.384,262144000,32.768,64000
