recipe,category,from_vocab,to_vocab,delta_chars_per_token,delta_cpt_per_million_tied_parameters,delta_tied_parameters_at_hidden_768
W,web_novel,8000,16000,0.25549130654032126,0.041583871507213745,6144000
W,aozora_shin_shin,8000,16000,0.1587149101085732,0.02583250490048392,6144000
W,aozora_shin_kyu,8000,16000,0.11123459893416032,0.01810458967027349,6144000
W,aozora_kyu_kyu,8000,16000,0.0843995704915681,0.013736909259695328,6144000
W,aa,8000,16000,0.30091990787944867,0.04897784958975401,6144000
W,web_novel,16000,24000,0.11494279010599073,0.01870813641048026,6144000
W,aozora_shin_shin,16000,24000,0.07554484323227073,0.012295710161502398,6144000
W,aozora_shin_kyu,16000,24000,0.04925583724093485,0.008016900592600074,6144000
W,aozora_kyu_kyu,16000,24000,0.03508354122060897,0.005710211787208492,6144000
W,aa,16000,24000,0.1590153324909478,0.0258814017726152,6144000
W,web_novel,24000,32000,0.08123058283383688,0.013221123508111473,6144000
W,aozora_shin_shin,24000,32000,0.059654301815838195,0.009709359019504914,6144000
W,aozora_shin_kyu,24000,32000,0.04434937135118111,0.007218322160022967,6144000
W,aozora_kyu_kyu,24000,32000,0.028812378897178803,0.004689514794462696,6144000
W,aa,24000,32000,0.11729649200551773,0.019091225912356402,6144000
W,web_novel,32000,48000,0.12229144264758451,0.009952103080044312,12288000
W,aozora_shin_shin,32000,48000,0.08994694087589439,0.007319900787426301,12288000
W,aozora_shin_kyu,32000,48000,0.06043607476924473,0.004918300355570046,12288000
W,aozora_kyu_kyu,32000,48000,0.04313440307916627,0.003510286708916526,12288000
W,aa,32000,48000,0.17072778788560283,0.013893862946419502,12288000
W,web_novel,48000,64000,0.11375324162014255,0.009257262501639205,12288000
W,aozora_shin_shin,48000,64000,0.06551917603688073,0.005331964195709695,12288000
W,aozora_shin_kyu,48000,64000,0.041658175838268585,0.0033901510285049303,12288000
W,aozora_kyu_kyu,48000,64000,0.02876781792080374,0.0023411310156904084,12288000
W,aa,48000,64000,0.11655369845288632,0.0094851642621164,12288000
N,web_novel,8000,16000,0.2387565061617174,0.03886010842475869,6144000
N,aozora_shin_shin,8000,16000,0.256354763049619,0.041724408048440596,6144000
N,aozora_shin_kyu,8000,16000,0.2240149764833026,0.036460770911995864,6144000
N,aozora_kyu_kyu,8000,16000,0.1963878090983009,0.031964161637093244,6144000
