candidate,recipe,vocab_size,exact_round_trip_rate
j-reversible-sp-unigram-8k,J,8000,1.0
j-reversible-sp-unigram-16k,J,16000,1.0
j-reversible-sp-unigram-24k,J,24000,1.0
j-reversible-sp-unigram-32k,J,32000,1.0
j-reversible-sp-unigram-48k,J,48000,1.0
j-reversible-sp-unigram-64k,J,64000,1.0
n-reversible-sp-unigram-8k,N,8000,1.0
n-reversible-sp-unigram-16k,N,16000,1.0
n-reversible-sp-unigram-24k,N,24000,1.0
n-reversible-sp-unigram-32k,N,32000,1.0
n-reversible-sp-unigram-48k,N,48000,1.0
n-reversible-sp-unigram-64k,N,64000,1.0
w-reversible-sp-unigram-8k,W,8000,1.0
w-reversible-sp-unigram-16k,W,16000,1.0
w-reversible-sp-unigram-24k,W,24000,1.0
w-reversible-sp-unigram-32k,W,32000,1.0
w-reversible-sp-unigram-48k,W,48000,1.0
w-reversible-sp-unigram-64k,W,64000,1.0
