candidate,recipe,vocab_size,category,metric,delta_percent,regression_percent
n-reversible-sp-unigram-8k,N,8000,web_novel,characters_per_token,-2.2104471412373594,2.2104471412373594
n-reversible-sp-unigram-8k,N,8000,web_novel,bytes_per_token,-2.210447141237337,2.210447141237337
n-reversible-sp-unigram-8k,N,8000,web_novel,tokens_per_document,2.2604123616659644,2.2604123616659644
n-reversible-sp-unigram-8k,N,8000,web_novel,token_count_p99,1.1716519796450386,1.1716519796450386
n-reversible-sp-unigram-16k,N,16000,web_novel,characters_per_token,-2.775888399789528,2.775888399789528
n-reversible-sp-unigram-16k,N,16000,web_novel,bytes_per_token,-2.775888399789528,2.775888399789528
n-reversible-sp-unigram-16k,N,16000,web_novel,tokens_per_document,2.8551440111935333,2.8551440111935333
n-reversible-sp-unigram-16k,N,16000,web_novel,token_count_p99,0.9331882979332518,0.9331882979332518
n-reversible-sp-unigram-24k,N,24000,web_novel,characters_per_token,-0.5765650615465745,0.5765650615465745
n-reversible-sp-unigram-24k,N,24000,web_novel,bytes_per_token,-0.5765650615465856,0.5765650615465856
n-reversible-sp-unigram-24k,N,24000,web_novel,tokens_per_document,0.5799086119922192,0.5799086119922192
n-reversible-sp-unigram-24k,N,24000,web_novel,token_count_p99,-0.20077877829155488,-0.20077877829155488
n-reversible-sp-unigram-32k,N,32000,web_novel,characters_per_token,-0.8465791292328939,0.8465791292328939
n-reversible-sp-unigram-32k,N,32000,web_novel,bytes_per_token,-0.8465791292328939,0.8465791292328939
n-reversible-sp-unigram-32k,N,32000,web_novel,tokens_per_document,0.8538072834988641,0.8538072834988641
n-reversible-sp-unigram-32k,N,32000,web_novel,token_count_p99,0.9622993890665121,0.9622993890665121
n-reversible-sp-unigram-48k,N,48000,web_novel,characters_per_token,-0.08891477978262285,0.08891477978262285
n-reversible-sp-unigram-48k,N,48000,web_novel,bytes_per_token,-0.08891477978262285,0.08891477978262285
n-reversible-sp-unigram-48k,N,48000,web_novel,tokens_per_document,0.08899390852039613,0.08899390852039613
n-reversible-sp-unigram-48k,N,48000,web_novel,token_count_p99,-0.9320993797061083,-0.9320993797061083
n-reversible-sp-unigram-64k,N,64000,web_novel,characters_per_token,-1.3696235918458255,1.3696235918458255
n-reversible-sp-unigram-64k,N,64000,web_novel,bytes_per_token,-1.3696235918458144,1.3696235918458144
n-reversible-sp-unigram-64k,N,64000,web_novel,tokens_per_document,1.3886427708417193,1.3886427708417193
n-reversible-sp-unigram-64k,N,64000,web_novel,token_count_p99,1.3539921831379198,1.3539921831379198
j-reversible-sp-unigram-8k,J,8000,web_novel,characters_per_token,-17.978945782565305,17.978945782565305
j-reversible-sp-unigram-8k,J,8000,web_novel,bytes_per_token,-17.97894578256529,17.97894578256529
j-reversible-sp-unigram-8k,J,8000,web_novel,tokens_per_document,21.91991550718648,21.91991550718648
j-reversible-sp-unigram-8k,J,8000,web_novel,token_count_p99,19.823755740350002,19.823755740350002
j-reversible-sp-unigram-16k,J,16000,web_novel,characters_per_token,-6.684732401305659,6.684732401305659
j-reversible-sp-unigram-16k,J,16000,web_novel,bytes_per_token,-6.684732401305649,6.684732401305649
j-reversible-sp-unigram-16k,J,16000,web_novel,tokens_per_document,7.1635998838406545,7.1635998838406545
j-reversible-sp-unigram-16k,J,16000,web_novel,token_count_p99,6.180225568214337,6.180225568214337
j-reversible-sp-unigram-24k,J,24000,web_novel,characters_per_token,-2.2002651251144534,2.2002651251144534
j-reversible-sp-unigram-24k,J,24000,web_novel,bytes_per_token,-2.2002651251144534,2.2002651251144534
j-reversible-sp-unigram-24k,J,24000,web_novel,tokens_per_document,2.2497659404999704,2.2497659404999704
j-reversible-sp-unigram-24k,J,24000,web_novel,token_count_p99,2.278534923339004,2.278534923339004
j-reversible-sp-unigram-32k,J,32000,web_novel,characters_per_token,-1.905820015383286,1.905820015383286
j-reversible-sp-unigram-32k,J,32000,web_novel,bytes_per_token,-1.9058200153832972,1.9058200153832972
j-reversible-sp-unigram-32k,J,32000,web_novel,tokens_per_document,1.9428471859208818,1.9428471859208818
j-reversible-sp-unigram-32k,J,32000,web_novel,token_count_p99,2.215820961666304,2.215820961666304
j-reversible-sp-unigram-48k,J,48000,web_novel,characters_per_token,-0.20212847408314083,0.20212847408314083
j-reversible-sp-unigram-48k,J,48000,web_novel,bytes_per_token,-0.20212847408315193,0.20212847408315193
j-reversible-sp-unigram-48k,J,48000,web_novel,tokens_per_document,0.20253786077055747,0.20253786077055747
j-reversible-sp-unigram-48k,J,48000,web_novel,token_count_p99,-0.4080007960991172,-0.4080007960991172
j-reversible-sp-unigram-64k,J,64000,web_novel,characters_per_token,-1.5682481288849415,1.5682481288849415
j-reversible-sp-unigram-64k,J,64000,web_novel,bytes_per_token,-1.5682481288849415,1.5682481288849415
j-reversible-sp-unigram-64k,J,64000,web_novel,tokens_per_document,1.593233991139753,1.593233991139753
j-reversible-sp-unigram-64k,J,64000,web_novel,token_count_p99,1.5040480178671212,1.5040480178671212
