candidate,seed,requested_budget_fraction,actual_budget_fraction,source_chars,source_bytes,tokens,steps,training_hours,derived_flops,eval_bits_per_byte,eval_nll_sum,eval_source_bytes,eval_source_chars,eval_tokens,eval_token_nll
j-reversible-sp-unigram-32k,1,0.19,0.19008296666666666,5702489,16108597,2376326,1542,0.24876840951138945,2750040047278080,2.087949088493193,6623258.648910046,4576425,1625009,743389,8.909546211889126
j-reversible-sp-unigram-32k,1,0.2,0.20018903333333332,6005671,16971331,2505580,1620,0.2629368354755557,2902998412505088,2.088545959447931,6625152.004804134,4576425,1625009,743389,8.912093136707881
j-reversible-sp-unigram-32k,1,0.5,0.5002318333333333,15006955,42298927,6242373,4135,0.6445034634511093,7176121134289920,2.070215374063402,6567004.89343214,4576425,1625009,743389,8.833874180855704
j-reversible-sp-unigram-32k,1,0.75,0.7500226666666666,22500680,63470368,9361184,6170,0.9719732963008355,10787809565859840,2.0792540711138394,6595676.870514393,4576425,1625009,743389,8.872443458962122
j-reversible-sp-unigram-32k,1,1.0,1.0,30000000,84611719,12492649,8229,1.2983431725650025,14402411516298240,2.0690510493113328,6563311.496870518,4576425,1625009,743389,8.82890585799698
j-reversible-sp-unigram-48k,1,0.19,0.19008296666666666,5702489,16108597,2193743,1528,0.22554145359027844,2517543158197248,2.0397874735204993,6470483.452105045,4576425,1625009,691616,9.355601160333256
j-reversible-sp-unigram-48k,1,0.2,0.2000922,6002766,16962812,2311607,1604,0.2382994915900008,2656137368448000,2.0428303181504295,6480135.769359112,4576425,1625009,691616,9.369557340141222
j-reversible-sp-unigram-48k,1,0.5,0.5002655666666667,15007967,42301955,5765926,4096,0.5846069980905542,6572702379718656,2.019802940601971,6407089.794076443,4576425,1625009,691616,9.263940964460687
j-reversible-sp-unigram-48k,1,0.75,0.7501628,22504884,63482680,8646207,6111,0.8820517518816632,9880893577939968,2.0139688562660685,6388583.284626961,4576425,1625009,691616,9.237182605126199
j-reversible-sp-unigram-48k,1,1.0,1.0,30000000,84611719,11538896,8148,1.1784887866438936,13192905504817152,1.998723780482787,6340223.829604149,4576425,1625009,691616,9.16726019872899
j-reversible-sp-unigram-32k,2,0.19,0.19008296666666666,5702489,16108597,2376326,1542,0.33822998921499864,2750040047278080,2.0883608893348717,6624564.937220097,4576425,1625009,743389,8.911303418829302
j-reversible-sp-unigram-32k,2,0.2,0.20018903333333332,6005671,16971331,2505580,1620,0.3577442998144428,2902998412505088,2.0895844786553237,6628446.3290576935,4576425,1625009,743389,8.916524631192678
j-reversible-sp-unigram-32k,2,0.5,0.5002318333333333,15006955,42298927,6242373,4135,0.8721312194022226,7176121134289920,2.070495929749638,6567894.854248524,4576425,1625009,743389,8.835071347906041
j-reversible-sp-unigram-32k,2,0.75,0.7500226666666666,22500680,63470368,9361184,6170,1.317617800048887,10787809565859840,2.077882569786876,6591326.281663418,4576425,1625009,743389,8.866591087120495
j-reversible-sp-unigram-32k,2,1.0,1.0,30000000,84611719,12492649,8229,1.7605950905919379,14402411516298240,2.067869947358951,6559564.880746365,4576425,1625009,743389,8.823865944675486
j-reversible-sp-unigram-48k,2,0.19,0.19008296666666666,5702489,16108597,2193743,1528,0.3023592286283277,2517543158197248,2.041308617738286,6475308.728569984,4576425,1625009,691616,9.362577974728728
j-reversible-sp-unigram-48k,2,0.2,0.2000922,6002766,16962812,2311607,1604,0.31976870008082997,2656137368448000,2.0436592448307165,6482765.237594128,4576425,1625009,691616,9.373359259464975
j-reversible-sp-unigram-48k,2,0.5,0.5002655666666667,15007967,42301955,5765926,4096,0.7796782386847311,6572702379718656,2.02574386872818,6425935.226568699,4576425,1625009,691616,9.291189368910926
j-reversible-sp-unigram-48k,2,0.75,0.7501628,22504884,63482680,8646207,6111,1.1783421701825056,9880893577939968,2.0133174570785415,6386516.95775795,4576425,1625009,691616,9.234194925736174
j-reversible-sp-unigram-48k,2,1.0,1.0,30000000,84611719,11538896,8148,1.5746747332514037,13192905504817152,2.005290722847069,6361055.064451218,4576425,1625009,691616,9.197379853056056
