candidate,seed,domain,bits_per_byte,nll_sum,source_bytes,source_chars,tokens,token_nll
j-reversible-sp-unigram-32k,1,aa,1.8270663294889424,1650521.4450302124,1303291,468245,189974,8.688143877742283
j-reversible-sp-unigram-32k,1,aozora_kyu_kyu,2.176675060936167,427768.58759880066,283524,98589,48030,8.906279150505947
j-reversible-sp-unigram-32k,1,aozora_shin_kyu,2.1057398865610444,1532082.4655256271,1049668,363135,174239,8.7929939079404
j-reversible-sp-unigram-32k,1,aozora_shin_shin,1.9784584816814583,1994515.7140197754,1454404,500000,226058,8.823026453475547
j-reversible-sp-unigram-32k,1,gyaru,6.017123934762409,2281.4016122817993,547,211,227,10.050227366880174
j-reversible-sp-unigram-32k,1,historical_kana,2.5640830044135097,58.65046787261963,33,11,7,8.37863826751709
j-reversible-sp-unigram-32k,1,kakikudashi,3.816686223069936,58286.213290691376,22032,7344,6309,9.238581913249545
j-reversible-sp-unigram-32k,1,kanbun,5.245909327254897,46819.54715538025,12876,4292,4675,10.014876396872781
j-reversible-sp-unigram-32k,1,old_orthography,2.214753277570622,59.870849609375,39,13,7,8.552978515625
j-reversible-sp-unigram-32k,1,technical,5.7846349429751225,219918.72735404968,54848,34542,23549,9.338771385368792
j-reversible-sp-unigram-32k,1,unicode_edge,10.613537720065937,1007.8738932609558,137,70,97,10.390452507844905
j-reversible-sp-unigram-32k,1,web_novel,2.3003951148016593,629800.5030117035,394980,148523,70196,8.972028363606238
j-reversible-sp-unigram-32k,1,whitespace,5.974547077674749,190.497061252594,46,34,21,9.071288631075905
j-reversible-sp-unigram-48k,1,aa,1.7536702244288587,1584217.4234256744,1303291,468245,175826,9.0101431154987
j-reversible-sp-unigram-48k,1,aozora_kyu_kyu,2.110711238529492,414805.1225185394,283524,98589,44962,9.225682187592621
j-reversible-sp-unigram-48k,1,aozora_shin_kyu,2.044722066878628,1487687.4610824585,1049668,363135,162834,9.136221311780455
j-reversible-sp-unigram-48k,1,aozora_shin_shin,1.9133706865758644,1928899.6642866135,1454404,500000,210650,9.156893730294867
j-reversible-sp-unigram-48k,1,gyaru,5.945222019181795,2254.139892578125,547,211,223,10.108250639363789
j-reversible-sp-unigram-48k,1,historical_kana,2.3504697536160655,53.76430892944336,33,11,6,8.960718154907227
j-reversible-sp-unigram-48k,1,kakikudashi,3.845732512327564,58729.791335105896,22032,7344,6098,9.630992347508347
j-reversible-sp-unigram-48k,1,kanbun,5.325430818911056,47529.273533821106,12876,4292,4633,10.258854637129529
j-reversible-sp-unigram-48k,1,old_orthography,2.2892752123103324,61.8853816986084,39,13,7,8.840768814086914
j-reversible-sp-unigram-48k,1,technical,5.46753669731778,207863.3697872162,54848,34542,20968,9.913361779245335
j-reversible-sp-unigram-48k,1,unicode_edge,10.661070927849483,1012.3877019882202,137,70,94,10.770081936044896
j-reversible-sp-unigram-48k,1,web_novel,2.2168337144982706,606923.1235542297,394980,148523,65296,9.294951046836402
j-reversible-sp-unigram-48k,1,whitespace,5.846766136560585,186.42279529571533,46,34,19,9.811726068195544
j-reversible-sp-unigram-32k,2,aa,1.8260682224146596,1649619.7825651169,1303291,468245,189974,8.68339763633506
j-reversible-sp-unigram-32k,2,aozora_kyu_kyu,2.174781617629706,427396.48080921173,283524,98589,48030,8.898531767837014
j-reversible-sp-unigram-32k,2,aozora_shin_kyu,2.1046172153098057,1531265.6386470795,1049668,363135,174239,8.788305939813013
j-reversible-sp-unigram-32k,2,aozora_shin_shin,1.9771146880349415,1993161.0141010284,1454404,500000,226058,8.817033743999453
j-reversible-sp-unigram-32k,2,gyaru,6.043306382368059,2291.3287267684937,547,211,227,10.093959148759884
j-reversible-sp-unigram-32k,2,historical_kana,2.5437037482168705,58.18431568145752,33,11,7,8.312045097351074
j-reversible-sp-unigram-32k,2,kakikudashi,3.8236539092027053,58392.61974287033,22032,7344,6309,9.255447732266656
j-reversible-sp-unigram-32k,2,kanbun,5.258579089165376,46932.624312877655,12876,4292,4675,10.039064024144952
j-reversible-sp-unigram-32k,2,old_orthography,2.2043532485431236,59.58970832824707,39,13,7,8.512815475463867
