dataset,seed,candidate,category,bits_per_byte,nll_sum,tokens,source_chars,source_bytes
old,1,j-reversible-sp-unigram-32k,kanbun,5.245909320843615,46819.54709815979,4675,4292,12876
old,1,j-reversible-sp-unigram-32k,kakikudashi,3.8166862206969006,58286.21325445175,6309,7344,22032
old,1,j-reversible-sp-unigram-48k,kanbun,5.325430818697347,47529.27353191376,4633,4292,12876
old,1,j-reversible-sp-unigram-48k,kakikudashi,3.8457325142010133,58729.791363716125,6098,7344,22032
old,2,j-reversible-sp-unigram-32k,kanbun,5.258579089165376,46932.624312877655,4675,4292,12876
old,2,j-reversible-sp-unigram-32k,kakikudashi,3.8236539092027053,58392.61974287033,6309,7344,22032
old,2,j-reversible-sp-unigram-48k,kanbun,5.365920405575414,47890.641600608826,4633,4292,12876
old,2,j-reversible-sp-unigram-48k,kakikudashi,3.855089249243043,58872.681982040405,6098,7344,22032
hardened,1,j-reversible-sp-unigram-32k,kanbun,5.285414308059779,225221.63090133667,22498,20492,61476
hardened,1,j-reversible-sp-unigram-32k,kakikudashi,3.833037046548096,279520.1460647583,30169,35069,105207
hardened,1,j-reversible-sp-unigram-48k,kanbun,5.3660701774988295,228658.532040596,22299,20492,61476
hardened,1,j-reversible-sp-unigram-48k,kakikudashi,3.8633113684687306,281727.86876153946,29205,35069,105207
hardened,2,j-reversible-sp-unigram-32k,kanbun,5.299372708129856,225816.42507362366,22498,20492,61476
hardened,2,j-reversible-sp-unigram-32k,kakikudashi,3.8407116204147873,280079.8061938286,30169,35069,105207
hardened,2,j-reversible-sp-unigram-48k,kanbun,5.406127245429307,230365.44045734406,22299,20492,61476
hardened,2,j-reversible-sp-unigram-48k,kakikudashi,3.8732180893419073,282450.3058347702,29205,35069,105207
