eval_item_id,source_work_identity,category,source_url,source_record_id,upstream_split,text_sha256,source_chars,source_bytes
sha256:a41069bdad53fa57a600c0f70d19d96621cde4a2ce3f830aa020445d8317697b,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:0,train,599cc724d690da8fbd47734df7e8b4f988de1edaf8cac092d01688dfb0b0932d,5,15
sha256:54570e380660697a2d4532b6c0183b0c9cf4af2458ec2a88b81f35c7fc97d47f,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:0,train,34d59d2b49d60c0dca98760d6a0175d9b86e6fd3299a95c83374b2412e951424,8,24
sha256:99532624164a3e6385874cca0cd81369100f512ee9edb324c98c0940bdc4a570,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:1,train,228cf28dccbb69ab6ba3cb0df55377f650c0b8fc14a2cdabc042689b3c4ff0b0,5,15
sha256:a8e159be520ff9bd957a13846e50eae875aedb7fe644e20fab247875647bf002,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:1,train,8027d64d3ff3f99fa0e242bf4677316a8ae8f74c9e2544e5ecdb093ae1f6db52,8,24
sha256:8469fb62d802de9ffebc4768fb09a94a967838a64e64f7fbc7f1ba42800da588,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:2,train,38900d67359ad0c0b62cdbe65d2cf4f2c9a1c67f601017a1b7464a73702bdfac,5,15
sha256:b3d46e69e6ee2ad706255cd1577a0fa1f22c03f9e1087f54029e5ba63e137e31,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:2,train,4b589b5078d24ccf8500ca3e222f41e88a62af7ff8d091b9be7df44dae21e7fd,8,24
sha256:c2f621aa19d65f67a9e438b6e09de2c1b9c45262d4104ccd9c1a6943cf9e304d,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:3,train,e4ec50348e229a6ee7dc98db1c1c7a8302aa1b68bf6335050409631967c4e01f,5,15
sha256:3fc52d885c73ec7908512a313d910ed39788bac984a11a079f43e7fda23fc177,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:3,train,bffd530714bb22a4d39ab18b88628a568cca8e0df737178c7d6cce7133b9078b,11,33
sha256:980b114cb8513dd52daa3755b82c3c9a6cb728dfbd1e1c52fd9995f2566b979a,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:4,train,b4acedf43e1cfc523ab697f462b3f3d3a1f4fc94343ed660c90c1d780b12f2f2,5,15
sha256:026c3b088412442823b39b2d0312e9f6719fc1cbaa903303fafc807c9abd3372,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:4,train,667933ce75286a8cf4226a44ee8d407ffaa770b997c40201e6f70039f8d49e15,8,24
sha256:6c1985c44ba18e74205fcc6ee4801c244b713fa01df1103246fa1ff95d007d24,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:5,train,bf8dabe48540ba46854a04bb446973447a9272f727ba479d7660774614318c2b,5,15
sha256:f4eed5989bac2a8ce22be2e90a4663bf4090ae9c4a962e8a7c5865e3d4903f5c,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:5,train,1541d984102bc17c7ad82a07aded7bafe983816dfb9e536ee87af937331f3ac7,11,33
sha256:ad68a4cc7641335a3be0e10a04d759eaaf0f7c70cb1047cebfc9a9231c0c7193,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:6,train,f217176ded658231adb8a3b3f25061033c3471b8fdc67ac0d53d6bed2ebbaa30,5,15
sha256:162196e0825f5245c65a350644ba1bd12e93ad9bd1c60d5fd0732cbe81658e8e,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:6,train,303156c5866871f42a4883a283d6773767f45f33db937ed8f6e5bd7b2e955997,14,42
